name,nycc_url,stand_url
Garden of Laughs,https://newyorkcomedyclub.com/comedians/garden-of-laughs,https://thestandnyc.com/comedians/garden-of-laughs
Geoff Chaser,https://newyorkcomedyclub.com/comedians/geoff-chaser,https://thestandnyc.com/comedians/geoff-chaser
Hannah Jones,https://newyorkcomedyclub.com/comedians/hannah-jones,https://thestandnyc.com/comedians/hannah-jones
Harshil Shukla,https://newyorkcomedyclub.com/comedians/harshil-shukla,https://thestandnyc.com/comedians/harshil-shukla
Hassan Phills,https://newyorkcomedyclub.com/comedians/hassan-phills,https://thestandnyc.com/comedians/hassan-phills
Hoodo Hersi,https://newyorkcomedyclub.com/comedians/hoodo-hersi,https://thestandnyc.com/comedians/hoodo-hersi
Hormoz Rashidi,https://newyorkcomedyclub.com/comedians/hormoz-rashidi,https://thestandnyc.com/comedians/hormoz-rashidi
Irina Chelidze,https://newyorkcomedyclub.com/comedians/irina-chelidze,https://thestandnyc.com/comedians/irina-chelidze
Isaiah Castillo,https://newyorkcomedyclub.com/comedians/isaiah-castillo,https://thestandnyc.com/comedians/isaiah-castillo
Jack Ferguson,https://newyorkcomedyclub.com/comedians/jack-ferguson,https://thestandnyc.com/comedians/jack-ferguson
Jamie Wang,https://newyorkcomedyclub.com/comedians/jamie-wang,https://thestandnyc.com/comedians/jamie-wang
Jason King,https://newyorkcomedyclub.com/comedians/jason-king,https://thestandnyc.com/comedians/jason-king
Jay Lawrence,https://newyorkcomedyclub.com/comedians/jay-lawrence,https://thestandnyc.com/comedians/jay-lawrence
Jeff Lawrence,https://newyorkcomedyclub.com/comedians/jeff-lawrence,https://thestandnyc.com/comedians/jeff-lawrence
Jesse Tyler Ferguson,https://newyorkcomedyclub.com/comedians/jesse-tyler-ferguson,https://thestandnyc.com/comedians/jesse-tyler-ferguson
JJ Mattise,https://newyorkcomedyclub.com/comedians/jj-mattise,https://thestandnyc.com/comedians/jj-mattise
Jo Sunday,https://newyorkcomedyclub.com/comedians/jo-sunday,https://thestandnyc.com/comedians/jo-sunday
Joe Levy,https://newyorkcomedyclub.com/comedians/joe-levy,https://thestandnyc.com/comedians/joe-levy
Jonah Nigh,https://newyorkcomedyclub.com/comedians/jonah-nigh,https://thestandnyc.com/comedians/jonah-nigh
Josh Thomas,https://newyorkcomedyclub.com/comedians/josh-thomas,https://thestandnyc.com/comedians/josh-thomas
JSCHLATT,https://newyorkcomedyclub.com/comedians/jschlatt,https://thestandnyc.com/comedians/jschlatt
Kevin Lee St. Pierre,https://newyorkcomedyclub.com/comedians/kevin-lee-st-pierre,https://thestandnyc.com/comedians/kevin-lee-st-pierre
Ladies & Tangents,https://newyorkcomedyclub.com/comedians/ladies-tangents,https://thestandnyc.com/comedians/ladies-tangents
Lauren Davis,https://newyorkcomedyclub.com/comedians/lauren-davis,https://thestandnyc.com/comedians/lauren-davis
Lissa Lenis,https://newyorkcomedyclub.com/comedians/lissa-lenis,https://thestandnyc.com/comedians/lissa-lenis
Luke Abranches,https://newyorkcomedyclub.com/comedians/luke-abranches,https://thestandnyc.com/comedians/luke-abranches
Luke Binkow,https://newyorkcomedyclub.com/comedians/luke-binkow,https://thestandnyc.com/comedians/luke-binkow
Mackenzie Jaquish,https://newyorkcomedyclub.com/comedians/mackenzie-jaquish,https://thestandnyc.com/comedians/mackenzie-jaquish
Mario Bosco,https://newyorkcomedyclub.com/comedians/mario-bosco,https://thestandnyc.com/comedians/mario-bosco
Meg Chizek,https://newyorkcomedyclub.com/comedians/meg-chizek,https://thestandnyc.com/comedians/meg-chizek
Meg Millane,https://newyorkcomedyclub.com/comedians/meg-millane,https://thestandnyc.com/comedians/meg-millane
Meka Mo,https://newyorkcomedyclub.com/comedians/meka-mo,https://thestandnyc.com/comedians/meka-mo
Michael Agunbiade,https://newyorkcomedyclub.com/comedians/michael-agunbiade,https://thestandnyc.com/comedians/michael-agunbiade
Moonie,https://newyorkcomedyclub.com/comedians/moonie,https://thestandnyc.com/comedians/moonie
Morir Soñando,https://newyorkcomedyclub.com/comedians/morir-soando,https://thestandnyc.com/comedians/morir-soando
Na’im Ali,https://newyorkcomedyclub.com/comedians/naim-ali,https://thestandnyc.com/comedians/naim-ali
Nasser Al-Rayess,https://newyorkcomedyclub.com/comedians/nasser-al-rayess,https://thestandnyc.com/comedians/nasser-al-rayess
National Coalition Against Censorship,https://newyorkcomedyclub.com/comedians/national-coalition-against-censorship,https://thestandnyc.com/comedians/national-coalition-against-censorship
Nina Kharoufeh,https://newyorkcomedyclub.com/comedians/nina-kharoufeh,https://thestandnyc.com/comedians/nina-kharoufeh
Not Another D+D Podcast,https://newyorkcomedyclub.com/comedians/not-another-dd-podcast,https://thestandnyc.com/comedians/not-another-dd-podcast
Peter Liu,https://newyorkcomedyclub.com/comedians/peter-liu,https://thestandnyc.com/comedians/peter-liu
Peyton Ruddy,https://newyorkcomedyclub.com/comedians/peyton-ruddy,https://thestandnyc.com/comedians/peyton-ruddy
Pour Minds,https://newyorkcomedyclub.com/comedians/pour-minds,https://thestandnyc.com/comedians/pour-minds
Ramy Shafi,https://newyorkcomedyclub.com/comedians/ramy-shafi,https://thestandnyc.com/comedians/ramy-shafi
Ray Lau,https://newyorkcomedyclub.com/comedians/ray-lau,https://thestandnyc.com/comedians/ray-lau
Rebecca Reingold,https://newyorkcomedyclub.com/comedians/rebecca-reingold,https://thestandnyc.com/comedians/rebecca-reingold
Reg Thomas,https://newyorkcomedyclub.com/comedians/reg-thomas,https://thestandnyc.com/comedians/reg-thomas
Rene Fuentes,https://newyorkcomedyclub.com/comedians/rene-fuentes,https://thestandnyc.com/comedians/rene-fuentes
Riley Edwards,https://newyorkcomedyclub.com/comedians/riley-edwards,https://thestandnyc.com/comedians/riley-edwards
Roey Rozen,https://newyorkcomedyclub.com/comedians/roey-rozen,https://thestandnyc.com/comedians/roey-rozen
Ross Watkins,https://newyorkcomedyclub.com/comedians/ross-watkins,https://thestandnyc.com/comedians/ross-watkins
Ruslan Bely,https://newyorkcomedyclub.com/comedians/ruslan-bely,https://thestandnyc.com/comedians/ruslan-bely
Sabeen Sadiq,https://newyorkcomedyclub.com/comedians/sabeen-sadiq,https://thestandnyc.com/comedians/sabeen-sadiq
Sarah Thomas,https://newyorkcomedyclub.com/comedians/sarah-thomas,https://thestandnyc.com/comedians/sarah-thomas
Saturday Night SESH Showcase,https://newyorkcomedyclub.com/comedians/saturday-night-sesh-showcase,https://thestandnyc.com/comedians/saturday-night-sesh-showcase
Sean T. Mahoney,https://newyorkcomedyclub.com/comedians/sean-t-mahoney,https://thestandnyc.com/comedians/sean-t-mahoney
Shiv Shanks,https://newyorkcomedyclub.com/comedians/shiv-shanks,https://thestandnyc.com/comedians/shiv-shanks
Sima Sepehri,https://newyorkcomedyclub.com/comedians/sima-sepehri,https://thestandnyc.com/comedians/sima-sepehri
Stand Up Comedy at Greenwich Village Comedy Club,https://newyorkcomedyclub.com/comedians/stand-up-comedy-at-greenwich-village-comedy-club,https://thestandnyc.com/comedians/stand-up-comedy-at-greenwich-village-comedy-club
Stephon Bishop,https://newyorkcomedyclub.com/comedians/stephon-bishop,https://thestandnyc.com/comedians/stephon-bishop
Talent Harris Jr,https://newyorkcomedyclub.com/comedians/talent-harris-jr,https://thestandnyc.com/comedians/talent-harris-jr
Tamara Shevon,https://newyorkcomedyclub.com/comedians/tamara-shevon,https://thestandnyc.com/comedians/tamara-shevon
Tatiana Frank,https://newyorkcomedyclub.com/comedians/tatiana-frank,https://thestandnyc.com/comedians/tatiana-frank
Thalia Herrera,https://newyorkcomedyclub.com/comedians/thalia-herrera,https://thestandnyc.com/comedians/thalia-herrera
The Leone Bros.,https://newyorkcomedyclub.com/comedians/the-leone-bros,https://thestandnyc.com/comedians/the-leone-bros
Torey Cole,https://newyorkcomedyclub.com/comedians/torey-cole,https://thestandnyc.com/comedians/torey-cole
Uncle Lazer,https://newyorkcomedyclub.com/comedians/uncle-lazer,https://thestandnyc.com/comedians/uncle-lazer
UpDating,https://newyorkcomedyclub.com/comedians/updating,https://thestandnyc.com/comedians/updating
Wils Pelton,https://newyorkcomedyclub.com/comedians/wils-pelton,https://thestandnyc.com/comedians/wils-pelton
Wyatt Feegrado,https://newyorkcomedyclub.com/comedians/wyatt-feegrado,https://thestandnyc.com/comedians/wyatt-feegrado
Yurié Collins,https://newyorkcomedyclub.com/comedians/yuri-collins,https://thestandnyc.com/comedians/yuri-collins
Zac Amico,https://newyorkcomedyclub.com/comedians/zac-amico,https://thestandnyc.com/comedians/zac-amico
Zack McGovern,https://newyorkcomedyclub.com/comedians/zack-mcgovern,https://thestandnyc.com/comedians/zack-mcgovern
